1105;arms_factory;2047.00;10.95;1897.00;4.91;0
1105;arms_factory;1968.00;9.60;2026.00;1.29;0
1105;arms_factory;2047.00;11.23;1895.00;2.86;0
1105;arms_factory;1990.00;9.90;2009.00;5.52;0
1105;arms_factory;2052.00;13.40;1917.00;3.36;0
1105;arms_factory;2045.00;12.55;1923.00;6.03;0
1105;industrial_complex;2038.00;11.73;1916.00;1.30;0
1105;industrial_complex;1995.00;9.75;1975.00;5.42;0
1105;industrial_complex;2048.00;13.48;1914.00;0.35;0
1105;industrial_complex;1997.00;9.82;1969.00;4.47;0
1105;industrial_complex;2003.00;10.18;1956.00;6.03;0
1105;industrial_complex;2005.00;9.78;1967.00;2.41;0
1105;air_base;2037.00;11.10;1906.00;5.08;0
1105;supply_node;2017.00;9.65;1948.00;2.19;0
1105;naval_base;1998.00;9.60;1985.00;-2.53;1484
1105;bunker;2048.00;11.15;1897.00;0.86;0
1105;coastal_bunker;2032.00;9.55;1952.00;0.21;0
1105;dockyard;2005.00;9.50;1964.00;-2.53;0
1105;anti_air_building;2031.00;10.73;1925.00;2.92;0
1105;anti_air_building;1992.00;9.62;2007.00;5.59;0
1105;anti_air_building;2020.00;11.55;1980.00;3.43;0
1105;synthetic_refinery;1974.00;9.70;2001.00;3.53;0
1105;fuel_silo;2051.00;13.43;1915.00;1.37;0
1105;radar_station;2016.00;10.55;1964.00;3.91;0
1105;rocket_site;2036.00;11.57;1914.00;0.41;0
1105;nuclear_reactor;2050.00;12.57;1907.00;1.97;0
1105;floating_harbor;2005.00;9.50;1874.00;-3.46;1105
1104;arms_factory;2082.00;11.05;1875.00;4.91;0
1104;arms_factory;2080.00;10.15;1870.00;1.29;0
1104;arms_factory;2120.00;10.07;1861.00;2.86;0
1104;arms_factory;2130.00;10.12;1849.00;5.52;0
1104;arms_factory;2058.00;11.85;1887.00;3.36;0
1104;arms_factory;2096.00;11.53;1880.00;6.03;0
1104;industrial_complex;2106.00;11.45;1877.00;1.30;0
1104;industrial_complex;2083.00;10.62;1873.00;5.42;0
1104;industrial_complex;2063.00;9.93;1866.00;0.35;0
1104;industrial_complex;2115.00;10.78;1856.00;4.47;0
1104;industrial_complex;2129.00;9.98;1846.00;6.03;0
1104;industrial_complex;2056.00;11.05;1883.00;2.41;0
1104;air_base;2094.00;11.23;1879.00;5.08;0
1104;supply_node;2091.00;10.05;1869.00;2.19;0
1104;naval_base;2120.00;9.50;1852.00;0.98;1924
1104;bunker;2058.00;9.82;1864.00;0.86;0
1104;coastal_bunker;2122.00;9.50;1847.00;0.98;0
1104;dockyard;2127.00;9.50;1854.00;0.98;0
